Action Type,Security ID,Announce/Declared Date,Effective Date,Billions_Bought
Stock Buyback,IBM US Equity,10/27/2015,10/27/2015, 4.0
Stock Buyback,IBM US Equity,10/28/2014,10/28/2014, 5.0
Stock Buyback,IBM US Equity,10/29/2013,10/29/2013, 15.0
Stock Buyback,IBM US Equity,4/30/2013,4/30/2013, 5.0
Stock Buyback,IBM US Equity,10/30/2012,10/30/2012, 5.0
Stock Buyback,IBM US Equity,4/24/2012,4/24/2012, 7.0
Stock Buyback,IBM US Equity,10/25/2011,10/25/2011, 7.0
Stock Buyback,IBM US Equity,4/26/2011,4/26/2011, 8.0
Stock Buyback,IBM US Equity,10/26/2010,10/26/2010, 10.0
Stock Buyback,IBM US Equity,4/27/2010,4/27/2010, 8.0
Stock Buyback,IBM US Equity,10/27/2009,10/27/2009, 5.0
Stock Buyback,IBM US Equity,4/28/2009,4/28/2009, 3.0
Stock Buyback,IBM US Equity,2/26/2008,2/26/2008, 15.0
Stock Buyback,IBM US Equity,4/24/2007,4/24/2007, 15.0
Stock Buyback,IBM US Equity,10/31/2006,10/31/2006, 4.0
Stock Buyback,IBM US Equity,4/25/2006,4/25/2006, 4.0
Stock Buyback,IBM US Equity,10/25/2005,10/25/2005, 4.0
Stock Buyback,IBM US Equity,4/26/2005,4/26/2005, 5.0
Stock Buyback,IBM US Equity,10/26/2004,10/26/2004, 4.0
Stock Buyback,IBM US Equity,2/24/2004,2/24/2004, 4.0
Stock Buyback,IBM US Equity,10/28/2003,10/28/2003, 3.5
Stock Buyback,IBM US Equity,4/30/2002,4/30/2002, 3.5
Stock Buyback,IBM US Equity,10/30/2001,10/30/2001, 3.5
Stock Buyback,IBM US Equity,4/24/2001,4/24/2001,  3.5
Stock Buyback,IBM US Equity,10/31/2000,10/31/2000, 3.5
Stock Buyback,IBM US Equity,4/25/2000,4/25/2000, 3.5
Stock Buyback,IBM US Equity,10/26/1999,10/26/1999, 3.5
Stock Buyback,IBM US Equity,4/27/1999,4/27/1999, 3.5
Stock Buyback,IBM US Equity,10/27/1998,10/27/1998, 3.5
Stock Buyback,IBM US Equity,4/28/1998,4/28/1998, 3.5
Stock Buyback,IBM US Equity,10/28/1997,10/28/1997, 3.5
Stock Buyback,IBM US Equity,4/29/1997,4/29/1997, 3.5
Stock Buyback,IBM US Equity,11/26/1996,11/26/1996, 3.5
Stock Buyback,IBM US Equity,4/30/1996,4/30/1996, 2.5
Stock Buyback,IBM US Equity,11/28/1995,11/28/1995, 2.5
Stock Buyback,IBM US Equity,7/25/1995,7/25/1995, 2.5
Stock Buyback,IBM US Equity,1/31/1995,1/31/1995, 2.5
