DATE,VALUE,EARNINGS,EARNINGS,DIVIDENDS,BUYBACKS,DIVIDEND ,BUYBACK ,BUYBACK ,& BUYBACKS
9/30/2015,"$16,917",$224.23,$205.90,95.07,150.58,2.22%,3.30%,5.53%,$245.66
6/30/2015,"$18,219",$230.84,$201.35,94.45,131.56,2.03%,3.04%,5.07%,$226.01
3/31/2015,"$18,303",$228.45,$193.05,93.55,144.13,1.98%,2.94%,4.92%,$237.69
12/30/2014,"$18,245",$237.14,$202.31,92.80,132.63,1.92%,3.03%,4.95%,$225.43
9/30/2014,"$17,519",$262.92,$244.00,89.02,145.19,1.96%,3.14%,5.10%,$234.22
6/30/2014,"$17,404",$260.50,$240.96,86.65,116.17,1.91%,3.06%,4.98%,$202.82
3/31/2014,"$16,700",$243.67,$221.82,81.96,159.28,1.93%,3.20%,5.14%,$241.24
12/31/2013,"$16,495",$252.10,$236.31,84.98,129.41,1.89%,2.88%,4.77%,$214.40
9/30/2013,"$14,960",$239.50,$219.13,79.26,128.16,2.05%,2.98%,5.03%,$207.42
6/30/2013,"$14,310",$234.84,$221.56,76.67,118.05,2.07%,2.94%,5.02%,$194.72
3/31/2013,"$13,979",$229.57,$215.76,70.86,99.97,2.06%,2.97%,5.02%,$170.82
12/31/2012,"$12,742",$206.84,$184.50,79.83,99.15,2.20%,3.13%,5.33%,$178.98
9/30/2012,"$12,881",$214.58,$189.64,69.48,103.72,2.07%,3.01%,5.08%,$173.20
6/30/2012,"$12,303",$229.69,$195.27,67.31,111.75,2.08%,3.27%,5.35%,$179.05
3/31/2012,"$12,730",$219.09,$208.15,64.07,84.29,1.95%,3.14%,5.09%,$148.37
12/31/2011,"$11,385",$214.83,$186.85,65.89,87.59,2.11%,3.56%,5.67%,$153.47
09/30/2011,"$10,303",$230.30,$206.08,59.20,118.41,2.22%,3.92%,6.14%,$177.61
6/30/2011,"$12,021",$226.29,$202.44,59.03,109.24,1.84%,3.04%,4.88%,$168.27
3/31/2011,"$12,068",$205.34,$195.15,56.08,89.84,1.76%,2.76%,4.52%,$145.91
12/31/2010,"$11,430",$199.40,$187.67,54.85,86.36,1.80%,2.61%,4.42%,$141.21
09/30/2010,"$10,336",$195.28,$176.80,51.26,79.56,1.94%,2.52%,4.45%,$130.81
06/30/2010 ,"$9,323",$189.04,$178.00,50.44,77.64,2.10%,2.31%,4.41%,$128.08
03/31/2010,"$10,560",$175.00,$157.85,49.28,55.26,1.83%,1.54%,3.36%,$104.54
12/31/2009,"$9,928",$152.77,$135.14,49.04,47.82,1.97%,1.39%,3.36%,$96.86
09/30/2009,"$9,337",$139.37,$130.37,47.21,34.85,2.24%,1.48%,3.71%,$82.06
06/30/2009,"$8,045",$120.85,$118.22,47.63,24.20,2.77%,2.40%,5.17%,$71.83
03/31/2009 ,"$6,928",$87.78,$65.29,51.73,30.78,3.43%,3.70%,7.13%,$82.51
12/31/2008,"$7,852",-$0.78,-$202.11,62.19,48.12,3.15%,4.33%,7.48%,$110.31
